Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_pred[27]    70.473   1.485   67.431   69.531   70.433   71.474
L_pred[28]    70.942   1.471   67.950   70.005   70.901   71.939
L_pred[29]    71.411   1.457   68.431   70.486   71.367   72.403
L_pred[30]    71.879   1.444   68.917   70.965   71.833   72.865
L_pred[31]    72.348   1.431   69.422   71.438   72.304   73.321
L_pred[32]    72.816   1.418   69.928   71.914   72.772   73.781
L_pred[33]    73.285   1.405   70.429   72.389   73.241   74.238
L_pred[34]    73.753   1.392   70.921   72.867   73.712   74.696
L_pred[35]    74.221   1.380   71.426   73.342   74.187   75.155
L_pred[36]    74.689   1.367   71.919   73.812   74.658   75.617
L_pred[37]    75.156   1.355   72.404   74.280   75.126   76.076
L_pred[38]    75.624   1.344   72.913   74.754   75.594   76.537
L_pred[39]    76.092   1.332   73.420   75.221   76.065   77.001
L_pred[40]    76.559   1.321   73.897   75.690   76.528   77.460
L_pred[41]    77.026   1.310   74.394   76.155   76.996   77.923
L_pred[42]    77.493   1.299   74.891   76.630   77.470   78.386
L_pred[43]    77.960   1.288   75.388   77.107   77.936   78.848
L_pred[44]    78.427   1.278   75.885   77.587   78.410   79.306
L_pred[45]    78.894   1.267   76.367   78.056   78.877   79.761
L_pred[46]    79.360   1.257   76.857   78.528   79.351   80.215
L_pred[47]    79.827   1.248   77.345   79.002   79.814   80.680
L_pred[48]    80.293   1.238   77.817   79.472   80.281   81.130
L_pred[49]    80.759   1.229   78.315   79.947   80.745   81.593
L_pred[50]    81.225   1.220   78.823   80.417   81.218   82.051
L_pred[51]    81.691   1.211   79.313   80.894   81.685   82.514
L_pred[52]    82.157   1.203   79.801   81.359   82.150   82.977
L_pred[53]    82.623   1.195   80.288   81.833   82.617   83.435
L_pred[54]    83.088   1.187   80.773   82.301   83.079   83.893
L_pred[55]    83.554   1.179   81.252   82.779   83.548   84.350
L_pred[56]    84.019   1.172   81.734   83.250   84.013   84.809
L_pred[57]    84.484   1.165   82.221   83.722   84.481   85.270
L_pred[58]    84.949   1.158   82.698   84.190   84.942   85.731
L_pred[59]    85.414   1.152   83.171   84.656   85.406   86.193
L_pred[60]    85.879   1.145   83.647   85.126   85.872   86.658
L_pred[61]    86.343   1.140   84.129   85.591   86.337   87.127
L_pred[62]    86.808   1.134   84.607   86.053   86.799   87.589
L_pred[63]    87.272   1.129   85.085   86.524   87.264   88.050
L_pred[64]    87.736   1.124   85.536   86.991   87.728   88.508
L_pred[65]    88.200   1.119   86.011   87.456   88.191   88.964
L_pred[66]    88.664   1.115   86.484   87.930   88.650   89.417
L_pred[67]    89.128   1.111   86.948   88.390   89.115   89.882
L_pred[68]    89.592   1.107   87.406   88.855   89.585   90.335
L_pred[69]    90.055   1.103   87.914   89.316   90.047   90.799
L_pred[70]    90.519   1.100   88.384   89.778   90.513   91.261
L_pred[71]    90.982   1.097   88.843   90.239   90.974   91.720
